Letter,Count,Percentage,PossibleKey
A,514,0.128259513412352,X
B,373,0.093075483468497,Z
C,10357,2.58440424204616,P
D,25198,6.28771054273238,S
E,37813,9.43555832813475,A
F,16793,4.19039301310044,C
G,29100,7.2613849033063,I
H,27068,6.75433562071117,T
I,6011,1.49993761696818,W
J,26707,6.66425452276981,N
K,52329,13.057766687461,E
L,9753,2.43368683718029,H
M,9165,2.28696194635059,G
N,7332,1.82956955708047,F
O,10098,2.51977542108546,M
P,25024,6.2442919525889,L
Q,213,0.053150343106675,Q
R,351,0.087585776668746,J
S,2504,0.624828446662508,V
T,6911,1.72451653150343,Y
U,30519,7.61547099189021,R
V,27887,6.95870243293824,O
W,10707,2.67174048658765,D
X,7584,1.89245165315034,B
Y,16609,4.14447910168434,U
Z,3830,0.955708047411104,K
,,,
Total,400750,,
